3834,House,136 BATHURST ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4457705572,147.1385031978
3835,Conjoined House,148 BATHURST ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4462745887,147.138827141
3836,Conjoined House,150 BATHURST ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4462745887,147.138827141
3837,Conjoined House,152 BATHURST ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4463826241,147.1388727433
3838,Conjoined House,154 BATHURST ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4464366433,147.1388942875
3839,Conjoined House,156 BATHURST ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4464816535,147.1389170097
3840,Conjoined House,158 BATHURST ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4465356745,147.1389371174
3841,House,2 BATTEN ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4433536552,147.1408765685
3842,House,5 BATTEN ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4436779177,147.1408838539
3843,House,11 BATTEN ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4437954722,147.1405106117
3844,Jasmin Cottage,13 BATTEN ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4438406711,147.1403785488
3845,House,15 BATTEN ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4438858765,147.140240979
3846,House,17 BATTEN ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4439220472,147.1401256559
3849,House,8 BEDFORD ST INVERMAY 7248,Permanently Registered,Launceston City Council,-41.4276006336,147.1370499604
3853,Cottage,16 BEDFORD ST INVERMAY 7248,Permanently Registered,Launceston City Council,-41.427701682,147.1365175728
3854,House,17 BEDFORD ST INVERMAY 7248,Permanently Registered,Launceston City Council,-41.4279953259,147.1363877005
3855,Cottage,18 BEDFORD ST INVERMAY 7248,Permanently Registered,Launceston City Council,-41.4277359814,147.1364109791
3856,Cottage,19 BEDFORD ST INVERMAY 7248,Permanently Registered,Launceston City Council,-41.4281455033,147.1362237374
3857,Cottage,20 BEDFORD ST INVERMAY 7248,Permanently Registered,Launceston City Council,-41.4277721945,147.1362566125
3858,Cottage,21 BEDFORD ST INVERMAY 7248,Permanently Registered,Launceston City Council,-41.428172683,147.1360910672
3859,Cottage,22 BEDFORD ST INVERMAY 7248,Permanently Registered,Launceston City Council,-41.4277831888,147.1361473764
3860,Cottage,23 BEDFORD ST INVERMAY 7248,Permanently Registered,Launceston City Council,-41.4281998665,147.1359550458
3861,Conjoined Cottage,24 BEDFORD ST INVERMAY 7248,Permanently Registered,Launceston City Council,-41.4277819894,147.1360350879
3862,Cottage,25 BEDFORD ST INVERMAY 7248,Permanently Registered,Launceston City Council,-41.4282270544,147.1358151944
3863,Cottage,27 BEDFORD ST INVERMAY 7248,Permanently Registered,Launceston City Council,-41.4282542379,147.1356789334
3864,Cottage,32 BEDFORD ST INVERMAY 7248,Permanently Registered,Launceston City Council,-41.4279086261,147.1355853856
3865,House,6 BIFRONS CT EAST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4324452111,147.1482853443
3866,Lonah,8 BIFRONS CT EAST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4325712193,147.1483610356
3868,Northcote,104 BLESSINGTON RD ST LEONARDS 7250,Permanently Registered,Launceston City Council,-41.4748327225,147.2077175874
3869,Old Illaroo,1 BLESSINGTON RD ST LEONARDS 7250,Permanently Registered,Launceston City Council,-41.4672254416,147.2104450002
3870,Conjoined Cottage,20 BOLAND ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4293792241,147.1438823772
3871,Powder Magazine site and former Electricity Distributing Station,34 BOURKE ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4447767982,147.1333594449
3872,Ritchies Mill,2 BRIDGE RD LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4403502353,147.1288423267
3873,Caretaker's Cottage King's Bridge,64 GORGE RD TREVALLYN 7250,Permanently Registered,Launceston City Council,-41.440253893,147.1263714474
3874,Kings Bridge,LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4402891055,147.1271136804
3878,Glenfruin,1 BRISBANE ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4328619191,147.1464425829
3879,Waddow,11 BRISBANE ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4334497816,147.1445675021
3880,House and Gate,15 BRISBANE ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4339911134,147.1438667073
3881,House,33 BRISBANE ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4348034501,147.1425355898
3882,Masonic Hall Chambers,39-39A BRISBANE ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4352449404,147.1424385257
3883,House,41 BRISBANE ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.43552413,147.1424744342
3884,Duncan House,SUITE 1 43-45 BRISBANE ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4355431283,147.1416782749
3885,Commercial Retail,50 BRISBANE ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4358054908,147.1407466551
3886,Holyman House,52-60 BRISBANE ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4360758038,147.1406760198
3887,Princess Theatre,55-57 BRISBANE ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4344194905,147.1397929382
3888,Commercial Retail,59 BRISBANE ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4362913488,147.1411953701
3889,Joseph's Corner,62 BRISBANE ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4363012919,147.1403157733
3890,Former Brisbane Hotel,70 BRISBANE ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4363790982,147.1400852134
3891,Former Majestic Theatre,72-76 BRISBANE ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4364733366,147.1396906949
3893,Commercial Retail,78-78A BRISBANE ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4366327278,147.1396299288
3894,Commercial Retail,80 BRISBANE ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4366626452,147.1395670944
3895,Commercial Retail Building,81-83 BRISBANE ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4368238312,147.1403478681
3896,Commercial Retail,82 BRISBANE ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.436734763,147.139519729
3897,Commercial Retail,84-86 BRISBANE ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4367708995,147.1394320682
3898,Commercial Retail Buildings,85 BRISBANE ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4368149535,147.1402414378
3900,Commercial Retail,92-94 BRISBANE ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4368972596,147.1392220297
3901,Commercial Retail,93 BRISBANE ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4369846457,147.1398671092
3902,Commercial Retail,95 BRISBANE ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4370117489,147.1398008547
3903,Bank,97 BRISBANE ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4371062774,147.1395459006
3904,Commercial Retail,98-100 BRISBANE ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4369875146,147.1390735577
3906,Launceston Hotel,107 BRISBANE ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4373498159,147.1392696792
3907,Commercial Retail,109 BRISBANE ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4374310408,147.1391399797
3908,Bank,111 BRISBANE ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4376363948,147.138794847
3910,Birchalls,118-122 BRISBANE ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.437357893,147.138186544
3911,Commercial Retail,127-129 BRISBANE ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.438122943,147.1386782185
3912,Commercial Retail,131-135 BRISBANE ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4384024146,147.1384809485
3913,Commercial Retail,141-147 BRISBANE ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4385702273,147.1372011445
3914,Motors Garage Facade adjoining,165-177 Brisbane ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4392502494,147.1363198746
3915,Commercial Retail,186-192 BRISBANE ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4391356557,147.1354319055
3917,Conjoined Houses,193 BRISBANE ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4396223731,147.1351683743
3918,Victoria Hotel -Irish Murphy Hotel,211 BRISBANE ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4400104445,147.1345311601
3919,House,264 BRISBANE ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4408060692,147.1319749484
3920,Winsville,303 BRISBANE ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4416056256,147.1314044592
3921,Launceston Church Grammar School and Chapel,36 BUTTON ST MOWBRAY 7248,Permanently Registered,Launceston City Council,-41.4069803793,147.1259560418
3922,Poimena,41 BUTTON ST MOWBRAY 7248,Permanently Registered,Launceston City Council,-41.4093547061,147.1292727006
3923,Crown Mill,22-26 CAMERON ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4339231722,147.1405339654
3924,Holy Trinity Church,34 CAMERON ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4343479202,147.1393889403
3925,Former Cornwall Hotel,35-39 CAMERON ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4349144387,147.1401769015
3926,Commercial Retail,41-43 CAMERON ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4349419077,147.139810098
3927,Commercial Building,55 CAMERON ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4354565935,147.1386567529
3928,Commercial Retail,57 CAMERON ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4355107303,147.1385808617
